ÐòºÅ,self_density
480,0.044605642
481,0.044631335
482,0.04471669
483,0.044735404
484,0.04476003
485,0.044766623
486,0.044781494
487,0.044789499
488,0.044799323
489,0.044809279
490,0.044816899
491,0.044836895
492,0.04483759
493,0.044941752
494,0.044984358
495,0.044996791
496,0.045049305
497,0.045109686
498,0.045142071
499,0.045147566
500,0.045149168
501,0.04518161
502,0.045188571
503,0.045208493
504,0.045243706
505,0.045256149
506,0.045310856
507,0.04531645
508,0.045340784
509,0.045345103
510,0.045350843
511,0.045369325
512,0.045372604
513,0.045401172
514,0.045456365
515,0.045511425
516,0.04551458
517,0.045527875
518,0.045548746
519,0.045576563
520,0.04558186
521,0.045598321
522,0.045609362
523,0.045632698
524,0.045639454
525,0.045670305
526,0.045727528
527,0.04577329
528,0.045793617
529,0.045800985
530,0.045847458
531,0.045857578
532,0.04586084
533,0.045863054
534,0.045904103
535,0.045921038
536,0.045937862
537,0.045959118
538,0.045970311
539,0.046028736
540,0.046075496
541,0.04607643
542,0.046155721
543,0.046168965
544,0.046192536
545,0.046210928
546,0.046259919
547,0.046264509
548,0.046280257
549,0.046302288
550,0.04634669
551,0.046354811
552,0.046414605
553,0.046439146
554,0.046486598
555,0.046510729
556,0.046536898
557,0.046555405
558,0.046599572
559,0.046606852
560,0.046612825
561,0.04665524
562,0.046661721
563,0.046662825
564,0.046665061
565,0.046694937
566,0.046698425
567,0.046717867
568,0.046737476
569,0.046751683
570,0.046757997
571,0.046791704
572,0.04679905
573,0.04684981
574,0.04685812
575,0.046867683
576,0.04686832
577,0.046869081
578,0.04687094
579,0.046883304
580,0.046925084
581,0.046929843
582,0.046953921
583,0.046976726
584,0.046988374
585,0.047005569
586,0.047017594
587,0.047058639
588,0.047073197
589,0.04709251
590,0.047094738
591,0.047197619
592,0.047244877
593,0.047259589
594,0.047262997
595,0.047299847
596,0.047305637
597,0.047307728
598,0.047309502
599,0.047329667
600,0.047338575
601,0.047367191
602,0.047417687
603,0.047443987
604,0.047598744
605,0.047608174
606,0.047631533
607,0.047644866
608,0.047671148
609,0.047673659
610,0.047693885
611,0.047722217
612,0.047736048
613,0.04776802
614,0.047854053
615,0.047861342
616,0.047872881
617,0.047920296
618,0.047925277
619,0.047956412
620,0.047972237
621,0.047974154
622,0.047982935
623,0.048010982
624,0.04810013
625,0.048111082
626,0.048131531
627,0.048152625
628,0.048177147
629,0.04818062
630,0.048192498
631,0.048218378
632,0.04821841
633,0.048300449
634,0.048302846
635,0.048371223
636,0.048423324
637,0.048519892
638,0.048531917
639,0.048540124
640,0.04855382
641,0.048559271
642,0.048572685
643,0.048607275
644,0.04863859
645,0.048720957
646,0.048728512
647,0.048763498
648,0.048764473
649,0.048795919
650,0.048855779
651,0.048882444
652,0.048958233
653,0.048995198
654,0.049146271
655,0.049167886
656,0.049195353
657,0.049230777
658,0.049236018
659,0.049247806
660,0.049448353
661,0.04962525
662,0.049634798
663,0.049690677
664,0.049702992
665,0.049751257
666,0.049766838
667,0.049808717
668,0.04983289
669,0.049840823
670,0.049861832
671,0.049945635
672,0.049994485
673,0.050042192
674,0.050059013
675,0.050078568
676,0.050098908
677,0.050104343
678,0.050142776
679,0.05017035
680,0.05017059
681,0.050190816
682,0.050262837
683,0.050273211
684,0.050307191
685,0.050365461
686,0.050379543
687,0.050388497
688,0.050392562
689,0.050427226
690,0.050457362
691,0.050499385
692,0.050512505
693,0.050555331
694,0.050569249
695,0.050636871
696,0.050672307
697,0.050705804
698,0.050775443
699,0.050851774
700,0.050862078
701,0.050881609
702,0.050895311
703,0.050980929
704,0.051000042
705,0.051001787
706,0.051192003
707,0.051197552
708,0.051214834
709,0.051232383
710,0.051262947
711,0.051303088
712,0.051312151
713,0.051364288
714,0.051488063
715,0.051499116
716,0.051598778
717,0.051669711
718,0.051794359
719,0.051815369
720,0.051902608
721,0.051946125
722,0.051959373
723,0.052016413
724,0.052026221
725,0.052125251
726,0.052143479
727,0.052196692
728,0.052216623
729,0.052255406
730,0.052335991
731,0.052365274
732,0.052395258
733,0.052443375
734,0.052608409
735,0.052625322
736,0.052655372
737,0.05268761
738,0.052727444
739,0.052736605
740,0.05275372
741,0.052777007
742,0.052791897
743,0.052798283
744,0.052811283
745,0.052853466
746,0.052883432
747,0.052923967
748,0.052981019
749,0.053089373
750,0.053134688
751,0.053277938
752,0.053294269
753,0.053350368
754,0.053366903
755,0.053372897
756,0.053463251
757,0.053540196
758,0.053574866
759,0.05359111
760,0.05364823
761,0.053730093
762,0.053735451
763,0.053778774
764,0.053786771
765,0.053792251
766,0.053864084
767,0.053935139
768,0.054033436
769,0.054035489
770,0.054055097
771,0.054147033
772,0.054202125
773,0.054475797
774,0.054484843
775,0.054499916
776,0.054545296
777,0.054575477
778,0.05460524
779,0.054652742
780,0.054763515
781,0.054782699
782,0.054805584
783,0.054956965
784,0.055040886
785,0.055070772
786,0.055109568
787,0.055146648
788,0.055204087
789,0.055308815
790,0.05531666
791,0.055382255
792,0.055482422
793,0.055500109
794,0.055568907
795,0.055646054
796,0.055769183
797,0.05612863
798,0.056205491
799,0.056205846
800,0.056338528
801,0.05647853
802,0.056495323
803,0.056529993
804,0.056536935
805,0.056621794
806,0.056659502
807,0.056695789
808,0.056748433
809,0.056829562
810,0.057017126
811,0.057080276
812,0.05712025
813,0.057144696
814,0.05720991
815,0.057344691
816,0.057372252
817,0.057411059
818,0.057427958
819,0.057477696
820,0.057531118
821,0.057574271
822,0.057577573
823,0.057893014
824,0.058322471
825,0.058414439
826,0.05843761
827,0.058499016
828,0.058513465
829,0.058542732
830,0.058596152
831,0.058609733
832,0.058791071
833,0.058819159
834,0.059052248
835,0.059059836
836,0.059093424
837,0.059145842
838,0.059183539
839,0.059268142
840,0.05929219
841,0.059344149
842,0.05934805
843,0.059411113
844,0.059634751
845,0.059678947
846,0.059789208
847,0.059795563
848,0.059849616
849,0.059858326
850,0.059878939
851,0.060014143
852,0.060273516
853,0.060330506
854,0.060473989
855,0.060601944
856,0.060610405
857,0.060650257
858,0.060690158
859,0.060962482
860,0.060981779
861,0.061023212
862,0.061229368
863,0.061290017
864,0.061473655
865,0.061559367
866,0.061659619
867,0.061713363
868,0.061801619
869,0.062322493
870,0.062472797
871,0.062511694
872,0.062545198
873,0.062575269
874,0.06264319
875,0.062727517
876,0.06293095
877,0.063099075
878,0.063129103
879,0.063229187
880,0.063233082
881,0.0632762
882,0.063378145
883,0.063407189
884,0.063468483
885,0.063520426
886,0.063572154
887,0.063800981
888,0.064007457
889,0.064104294
890,0.064197638
891,0.064303481
892,0.06442152
893,0.064446136
894,0.064570257
895,0.064607837
896,0.064676156
897,0.064690503
898,0.064712537
899,0.064774333
900,0.064798477
901,0.064830601
902,0.064832154
903,0.064921982
904,0.065157075
905,0.065237816
906,0.065323512
907,0.065364887
908,0.065386235
909,0.065619345
910,0.065686543
911,0.065936245
912,0.065947939
913,0.066045022
914,0.066091134
915,0.066103653
916,0.066184688
917,0.066192632
918,0.066675315
919,0.066896545
920,0.066996022
921,0.06741583
922,0.067810405
923,0.068140005
924,0.068315332
925,0.06874044
926,0.069663617
927,0.069937154
928,0.070107397
929,0.070138836
930,0.070905369
931,0.071095386
932,0.071126671
933,0.071524883
934,0.071541593
935,0.071581176
936,0.071771534
937,0.071818233
938,0.071857088
939,0.074403
940,0.075037446
941,0.075263146
942,0.075275475
943,0.075574627
944,0.075917827
945,0.076945865
946,0.077383023
947,0.077439305
948,0.077957818
949,0.078389151
950,0.078531006
951,0.078679478
952,0.07933455
953,0.079707271
954,0.080248392
955,0.080821823
956,0.080880684
957,0.082956425
958,0.084202793
959,0.085474489
960,0.087487076
