ÐòºÅ,self_density,log10_self_sp
267,0.038495282,-1.414592498
268,0.038514342,-1.414377514
269,0.038524553,-1.414262392
270,0.038554096,-1.413929472
271,0.038571372,-1.413734918
272,0.038608439,-1.413317754
273,0.038656641,-1.412775887
274,0.038673864,-1.412582429
275,0.038676547,-1.41255231
276,0.038679408,-1.412520178
277,0.03868964,-1.412405315
278,0.038697177,-1.412320714
279,0.038785865,-1.41132652
280,0.038876655,-1.410311115
281,0.038907296,-1.409968952
282,0.038918711,-1.409841555
283,0.038933318,-1.409678584
284,0.038940249,-1.409601281
285,0.038944112,-1.409558197
286,0.038989137,-1.409056373
287,0.039033697,-1.408560313
288,0.039040634,-1.408483143
289,0.039062283,-1.408242374
290,0.039097443,-1.407851644
291,0.039099903,-1.40782432
292,0.039102135,-1.407799527
293,0.039124526,-1.407550909
294,0.039135893,-1.407424757
295,0.039183071,-1.406901526
296,0.039212727,-1.406572954
297,0.03927598,-1.405872974
298,0.039356735,-1.404980935
299,0.039382565,-1.404696001
300,0.039390945,-1.404603599
301,0.03943572,-1.404110229
302,0.039446935,-1.403986738
303,0.039448834,-1.403965827
304,0.039456832,-1.403877788
305,0.039523265,-1.403147186
306,0.039549699,-1.402856819
307,0.039592035,-1.402392179
308,0.039612525,-1.402167476
309,0.039664583,-1.401597102
310,0.039680293,-1.401425133
311,0.039684538,-1.401378671
312,0.039707802,-1.401124152
313,0.039770492,-1.400439038
314,0.039774268,-1.400397803
315,0.039777178,-1.400366028
316,0.039787346,-1.400255032
317,0.039801711,-1.400098256
318,0.039817408,-1.399927009
319,0.039823299,-1.39986276
320,0.039823652,-1.399858919
321,0.039903085,-1.398993532
322,0.039909498,-1.398923735
323,0.039943961,-1.398548868
324,0.03994905,-1.398493549
325,0.039970684,-1.398258425
326,0.039999081,-1.397949987
327,0.040004274,-1.397893611
328,0.04008143,-1.397056793
329,0.040129144,-1.396540105
330,0.04014608,-1.396356852
331,0.040190992,-1.39587127
332,0.040193913,-1.395839711
333,0.040194542,-1.395832911
334,0.040272149,-1.394995192
335,0.040301298,-1.394680965
336,0.040309485,-1.394592746
337,0.040352833,-1.394125965
338,0.040408459,-1.39352771
339,0.040420393,-1.393399466
340,0.04044446,-1.393140955
341,0.040537878,-1.392138992
342,0.040538355,-1.392133882
343,0.040550565,-1.392003089
344,0.040575272,-1.391738562
345,0.040576047,-1.391730263
346,0.040605185,-1.391418506
347,0.040615644,-1.391306661
348,0.040634699,-1.391102954
349,0.040651713,-1.390921153
350,0.040657187,-1.390862672
351,0.040661872,-1.390812633
352,0.040662807,-1.390802647
353,0.040713256,-1.390264163
354,0.040756428,-1.389803886
355,0.040783948,-1.389510734
356,0.040836548,-1.388950973
357,0.0408992,-1.388285185
358,0.040985901,-1.387365516
359,0.041086889,-1.386296745
360,0.041114236,-1.386007775
361,0.041129597,-1.385845541
362,0.041135591,-1.385782258
363,0.041205413,-1.38504573
364,0.041220314,-1.384888708
365,0.041251669,-1.384558479
366,0.041299926,-1.384050729
367,0.041323818,-1.383799563
368,0.041331068,-1.383723368
369,0.041353495,-1.383487782
370,0.04140077,-1.382991585
371,0.041415498,-1.382837108
372,0.041442122,-1.382558011
373,0.041480638,-1.38215457
374,0.041507488,-1.381873551
375,0.041517106,-1.381772923
376,0.041530181,-1.381636176
377,0.041604815,-1.380856403
378,0.041641919,-1.380469268
379,0.041658868,-1.38029254
380,0.041682811,-1.380043001
381,0.041724023,-1.379613826
382,0.041756171,-1.379279329
383,0.041764643,-1.379191228
384,0.04186934,-1.37810389
385,0.041885192,-1.377939484
386,0.041906379,-1.377719865
387,0.041921916,-1.377558876
388,0.041927849,-1.377497414
389,0.0419736,-1.377023782
390,0.041981914,-1.376937765
391,0.042094971,-1.375769785
392,0.042130994,-1.37539829
393,0.042153043,-1.375171065
394,0.042228932,-1.374389905
395,0.042266082,-1.374008009
396,0.042267547,-1.373992951
397,0.042274565,-1.373920849
398,0.042290232,-1.373759934
399,0.04232786,-1.373373689
400,0.042337019,-1.373279725
401,0.042340082,-1.373248305
402,0.042360692,-1.373036953
403,0.042360986,-1.373033945
404,0.042361933,-1.373024231
405,0.042404965,-1.372583293
406,0.04243715,-1.372253786
407,0.042446682,-1.372156256
408,0.042495156,-1.371660572
409,0.042556888,-1.371030136
410,0.042557794,-1.371020891
411,0.042602537,-1.370564534
412,0.042617043,-1.370416692
413,0.042654489,-1.370035257
414,0.042702563,-1.369546057
415,0.042703466,-1.369536871
416,0.042735066,-1.36921562
417,0.042768247,-1.368878554
