Long,Lat,v1_sp_75_555_111_1021_0__real3,Name,overall_min_distance,neighbors_distance,self_mean_distance,self_density
-0.25,-2.45,-2.379865646,name809,0.00999999999999979,326.60955201058,1.30643820804232,0.00765439952570329
-0.13,-2.28,-1.153175116,name339,0.15,334.797947737801,1.3391917909512,0.112007855046257
0.04,-2.12,-1.302037477,name488,0.233452350598575,346.925092149349,1.38770036859739,0.168229652366912
0,-1.88,-0.491564065,name398,0.220227155455452,357.709936579395,1.43083974631758,0.153914619734482
-0.26,-2.16,-1.089934707,name709,0.176918060129541,339.744525092161,1.35897810036864,0.130184629231
0.04,-1.55,-0.957275867,name696,0.189736659610103,376.832777774661,1.50733111109864,0.125875899603645
-0.22,-1.87,-0.731262565,name865,0.212132034355964,356.187656044469,1.42475062417788,0.148890641461112
-0.27,-1.53,-0.271045327,name879,0.219544984001002,377.437206306484,1.50974882522593,0.145418218138469
-0.66,-2.49,-0.878642261,name237,0.199248588451713,347.644568159446,1.39057827263779,0.143284698439706
-0.91,-2.71,0.705543041,name298,0.257099202643649,366.305474366795,1.46522189746718,0.175467758902646
-1.19,-3.09,1.20531702,name944,0.215870331449229,394.734919934534,1.57893967973814,0.136718542335342
-0.96,-3.54,0.069896474,name748,0.191049731745428,414.298208372327,1.65719283348931,0.11528515443985
-1.24,-3.3,0.689809918,name499,0.178044938147649,408.765051823413,1.63506020729365,0.108891976792921
-0.61,-3.13,-0.11375048,name103,0.184390889145857,371.17689314434,1.48470757257736,0.12419340518737
-0.39,-3.48,0.489152193,name731,0.194164878389476,394.611121577866,1.57844448631147,0.1230102674331
-0.59,-3.77,-1.346446633,name59,0.233238075793812,426.897830956525,1.7075913238261,0.136588932339624
-0.24,-3.09,-0.068549238,name632,0.177200451466693,361.68921364722,1.44675685458888,0.122481155630708
-0.09,-3.25,1.039888024,name28,0.214709105535839,374.441324148176,1.4977652965927,0.143352971272792
0.04,-2.91,0.262431473,name541,0.1802775637732,353.200191358778,1.41280076543511,0.127602962982312
0.32,-2.49,-0.576669216,name483,0.208086520466848,353.467834828109,1.41387133931244,0.147175004316899
0.49,-1.84,1.174212694,name187,0.261725046566048,375.276097968855,1.50110439187542,0.17435499355182
0.35,-1.05,-1.111618996,name651,0.294278779391243,409.092578877799,1.6363703155112,0.179836297812156
0.04,-0.83,0.47036916,name536,0.228473193175917,417.149167960587,1.66859667184235,0.136925355918188
