Long,Lat,v1_sp_75_555_111_1021_0__real3,Name,overall_min_distance,neighbors_distance,self_mean_distance,self_density
-0.25,-2.45,-2.379865646,name809,0.00999999999999979,3253.96738885323,3.61551932094804,0.00276585439387934
-0.13,-2.28,-1.153175116,name339,0.15,3209.52331125489,3.56613701250543,0.0420623210701083
0.04,-2.12,-1.302037477,name488,0.233452350598575,3176.36248193861,3.52929164659845,0.0661470838839792
0,-1.88,-0.491564065,name398,0.220227155455452,3134.05350393404,3.48228167103782,0.0632422004477939
-0.26,-2.16,-1.089934707,name709,0.176918060129541,3188.8888039197,3.543209782133,0.0499315792764144
0.04,-1.55,-0.957275867,name696,0.189736659610103,3092.60154651664,3.43622394057405,0.0552166165219156
-0.22,-1.87,-0.731262565,name865,0.212132034355964,3138.00823400289,3.48667581555877,0.0608407679914941
-0.27,-1.53,-0.271045327,name879,0.219544984001002,3100.07916495317,3.44453240550353,0.0637372386598024
-0.66,-2.49,-0.878642261,name237,0.199248588451713,3317.3046599332,3.68589406659244,0.0540570577591003
-0.91,-2.71,0.705543041,name298,0.257099202643649,3434.12410297346,3.81569344774829,0.0673794177033189
-1.19,-3.09,1.20531702,name944,0.215870331449229,3638.91185942083,4.04323539935648,0.0533904930401991
-0.96,-3.54,0.069896474,name748,0.191049731745428,3802.27412687008,4.22474902985565,0.0452215576346214
-1.24,-3.3,0.689809918,name499,0.178044938147649,3742.09788394133,4.15788653771259,0.0428210189317955
-0.61,-3.13,-0.11375048,name103,0.184390889145857,3554.49125288801,3.94943472543112,0.0466879191491712
-0.39,-3.48,0.489152193,name731,0.194164878389476,3700.14203890199,4.11126893211332,0.0472274817326702
-0.59,-3.77,-1.346446633,name59,0.233238075793812,3871.88659224333,4.30209621360369,0.0542149836296753
-0.24,-3.09,-0.068549238,name632,0.177200451466693,3504.11195513299,3.89345772792555,0.0455123604388294
-0.09,-3.25,1.039888024,name28,0.214709105535839,3572.64854318387,3.96960949242652,0.0540882184873537
0.04,-2.91,0.262431473,name541,0.1802775637732,3421.62340396407,3.8018037821823,0.0474189553438018
0.32,-2.49,-0.576669216,name483,0.208086520466848,3283.91689604012,3.64879655115569,0.057028808690619
0.49,-1.84,1.174212694,name187,0.261725046566048,3147.2272001186,3.49691911124289,0.074844466869302
0.35,-1.05,-1.111618996,name651,0.294278779391243,3058.8319513174,3.39870216813044,0.0865856332310283
0.04,-0.83,0.47036916,name536,0.228473193175917,3048.27938208212,3.38697709120236,0.0674563739357359
0.64,-1,-0.452721536,name409,0.294278779391243,3067.62225468081,3.40846917186756,0.0863375212016374
0.56,-1.37,-0.950103879,name584,0.2,3091.23276217648,3.43470306908498,0.0582291965206998
0.65,-1.59,1.209254265,name767,0.218403296678416,3123.18298436689,3.47020331596321,0.0629367436984868
0.98,-1.4,-0.003615558,name804,0.186815416922694,3132.79646298331,3.48088495887035,0.05366894313661
0.93,-1.22,0.366864711,name862,0.186815416922694,3107.34414018056,3.45260460020062,0.0541085466061878
0.56,-2.35,1.252412081,name842,0.180277563773199,3264.83731005804,3.6275970111756,0.0496961385781869
0.82,-2.13,1.423732042,name11,0.180277563773199,3240.26219554441,3.60029132838267,0.0500730489091237
0.76,-2.34,1.283791423,name69,0.200249843945008,3285.5839877661,3.65064887529566,0.0548532194646602
0.45,-2.82,-0.445315182,name256,0.189736659610102,3407.88054222994,3.78653393581105,0.050108268624156
0.28,-3.16,1.27520895,name687,0.180277563773199,3537.23483473407,3.9302609274823,0.0458691082092313
-0.22,-3.76,0.110339254,name592,0.208086520466848,3838.39566054534,4.2648840672726,0.0487906628139413
0.46,-3.29,-0.668455243,name87,0.222036033111745,3608.57254329664,4.00952504810738,0.0553771407954049
0.76,-2.83,-0.090467267,name302,0.263058928759318,3445.70967090138,3.82856630100153,0.0687095137128757
0.8,-2.57,0.373840898,name476,0.233452350598575,3359.90302338308,3.73322558153676,0.0625336844773457
1.15,-2.33,-0.801696777,name202,0.341760149812701,3343.60311209335,3.71511456899262,0.091991819758434
0.89,-3.26,-0.377572566,name147,0.250599281722833,3642.61910695885,4.04735456328761,0.0619168095614719
0.44,-3.75,-0.14097634,name48,0.237697286480094,3840.35613369806,4.26706237077562,0.055705135249028
-2.82,-3.27,-0.957675278,name41,0.206155281280883,4231.57363465998,4.70174848295554,0.0438465141272919
1.66,-4.56,-1.262913466,name42,0.256124969497313,4499.15662654124,4.99906291837916,0.0512345960991338
-0.05,-1.04,-1.113321424,name43,0.228473193175917,3058.0171304615,3.39779681162389,0.0672415703005868
0.24,-3.45,-0.963230252,name44,0.21095023109729,3673.41390780324,4.08157100867026,0.0516835871896335
-2.92,1.73,-0.284631222,name45,0.223606797749979,3907.85358814727,4.34205954238586,0.0514978653717661
2.89,-3.2,-1.002266288,name46,0.198494332412793,4165.72803461294,4.62858670512548,0.0428844364507613
4.13,3.71,0.512837887,name47,0.200997512422418,4961.14157282087,5.51237952535652,0.036462930663218
1.68,2.68,-0.741047263,name48,0.226715680975093,3594.25377275815,3.99361530306461,0.056769534311709
-4.08,-0.32,0.235484019,name49,0.257099202643649,4236.54190891197,4.70726878767997,0.0546174893000668
3.55,-0.8,-0.58517307,name50,0.265706605111728,3809.2945059586,4.23254945106511,0.0627769641403396
-4.71,4.14,-1.596356034,name51,0.205182845286832,5788.99050016289,6.43221166684765,0.0318992682321646
-2.92,-1.96,-0.888810456,name52,0.182482875908947,3844.64020454283,4.27182244949204,0.0427178044187314
-1.88,-0.3,-0.426082164,name53,0.187882942280559,3286.54419859157,3.65171577621286,0.0514505930347652
