Lon,Lat,Value,Name
101.455,27.668,11.3,H349_Wang
101.568,25.349,5.9,H351_Wang
101.663,24.428,1.9,H352_Wang
102.191,24.391,2.6,H353_Wang
101.878,24.978,3.2,H356_Wang
101.865,28.23,10.5,H357_Wang
101.953,28.632,11.6,H358_Wang
102.151,27.759,10.7,H359_Wang
102.112,25.016,4.1,H360_Wang
102.186,30.101,9.1,H361_Wang
102.2,25.618,6.2,H362_Wang
102.228,29.449,10.7,H363_Wang
102.225,23.948,2.8,H364_Wang
102.339,29.135,10.7,H366_Wang
102.415,27.873,9.1,H367_Wang
102.39,29.941,9.1,H368_Wang
102.416,27.629,10.2,H369_Wang
102.458,23.366,5.6,H370_Wang
102.463,24.939,3.9,H371_Wang
102.578,30.05,7.4,H372_Wang
102.559,27.883,9.3,H373_Wang
102.569,24.677,3.9,H374_Wang
102.615,28.626,9.5,H375_Wang
102.71,27.949,9.7,H376_Wang
102.755,30.044,8.1,H377_Wang
102.655,28.46,9.5,H378_Wang
102.814,24.976,5.4,H379_Wang
102.829,24.468,4.3,H380_Wang
102.829,23.916,4.4,H381_Wang
102.86,23.569,3.8,H382_Wang
102.98,24.152,7.6,H385_Wang
103.016,28.121,8.2,H386_Wang
103.036,26.642,8.1,H387_Wang
103.036,25.353,6.6,H388_Wang
103.035,24.936,4.7,H389_Wang
103.143,24.896,5.8,H390_Wang
103.215,30.146,8,H391_Wang
103.287,24.869,6.6,H393_Wang
103.435,28.096,5.3,H394_Wang
103.351,29.924,7.6,H395_Wang
103.37,26.875,7.9,H396_Wang
103.389,24.557,6.9,H397_Wang
103.444,25.889,6.8,H398_Wang
103.493,24.876,6.8,H399_Wang
103.821,29.373,7,H400_Wang
103.97,28.155,7.4,H401_Wang
104.092,30.43,5.9,H402_Wang
103.896,28.955,6.3,HB04_Wang
101.611,24.708,2.4,HB05_Wang
102.825,24.109,4.4,HB06_Wang
102.501,23.704,4.2,HB07_Wang
103.128,23.141,6.4,HB10_Wang
103.966,22.532,6,HB11_Wang
99.7,31.694,20.4,HB16_Wang
99.537,30.284,17.1,HB17_Wang
99.436,26.468,1.8,HN01_Wang
104.585,30.317,6.1,HN02_Wang
103.679,25.09,6.2,HN06_Wang
103.802,25.633,6.8,HN08_Wang
99.193,31.938,21,J009_Wang
97.997,29.709,15,J012_Wang
98.23,31.514,21.6,J402_Wang
104.698,30.029,5.6,J414_Wang
98.592,31.871,21.6,J421_Wang
97.513,29.959,17.7,J423_Wang
97.782,31.37,21.6,J426_Wang
102.306,31.706,9.6,JB34_Wang
100.169,26.883,5,JB38_Wang
101.403,31.57,11.8,NP01_Wang
101.174,31.285,13.8,NP03_Wang
101.175,31.176,12.5,NP04_Wang
101.109,30.923,17.1,NP09_Wang
101.044,30.552,16.6,NP11_Wang
101.534,30.441,17,NP22_Wang
101.5,30.206,14.4,NP24_Wang
100.662,30.143,13.1,NR01_Wang
100.101,29.906,17.7,NR03_Wang
103.452,28.322,6.9,SP07_Wang
102.853,28.009,8.5,SP12_Wang
102.645,27.916,8.4,SP15_Wang
101.197,28.021,9.4,SP28_Wang
101.139,30.991,14,Y269_Wang
100.309,30.942,17.6,Y270_Wang
99.108,30.011,16.4,Y273_Wang
100.237,29.986,15.5,Y274_Wang
102.303,28.903,10.6,Y285_Wang
99.14,27.311,6.4,Y293_Wang
99.95,25.69,1.4,Y299_Wang
100.369,25.437,1.9,Y302_Wang
100.567,25.44,3.3,Y307_Wang
100.584,24.788,2,Y313_Wang
100.914,24.284,2.2,Y315_Wang
102.219,27.902,10.6,Y318_Wang
99.269,26.492,1.6,YD02_Wang
99.764,26.529,2.6,YD03_Wang
100.435,26.813,7.5,YD04_Wang
100.616,26.801,5.6,YD05_Wang
101.015,26.522,7.2,YD06_Wang
99.575,25.761,-0.1,YD13_Wang
100.045,25.584,5,YD15_Wang
100.317,25.704,3.4,YD16_Wang
100.464,25.779,2.4,YD17_Wang
100.641,25.686,3,YD18_Wang
100.785,25.708,4.2,YD19_Wang
101.135,25.835,4.6,YD20_Wang
101.408,25.7,4.6,YD21_Wang
101.548,25.669,5.6,YD22_Wang
101.76,25.75,5.9,YD23_Wang
102.05,25.664,5.9,YD24_Wang
102.63,25.657,5.8,YD25_Wang
102.757,25.642,5.9,YD26_Wang
103.088,25.574,6.1,YD27_Wang
103.159,25.576,7.3,YD28_Wang
103.323,25.523,7.4,YD29_Wang
103.434,25.456,6.6,YD30_Wang
103.598,25.424,6.6,YD31_Wang
101.822,23.421,2.4,YD52_Wang
102.087,23.834,2.4,YD53_Wang
102.261,24.118,2.1,YD54_Wang
102.585,24.199,2.9,YD55_Wang
102.651,24.113,4.7,YD56_Wang
102.789,24.216,5.9,YD57_Wang
102.91,24.191,5.1,YD58_Wang
103.1,24.209,6.9,YD59_Wang
103.216,24.177,6.9,YD60_Wang
103.276,24.143,5.6,YD61_Wang
102.797,25.029,3.9,KUNM_Wang
105.414,28.872,8.2,LUZH_Wang
104.863,26.586,8.1,GZSC_Wang
101.5,29.008,12.7,SCJL_Wang
104.516,28.179,8.1,SCJU_Wang
100.218,29.992,17,SCLT_Wang
102.174,28.333,12.2,SCMN_Wang
102.716,27.057,10.7,SCNN_Wang
102.354,29.229,11.1,SCSM_Wang
102.765,30.074,8.8,SCTQ_Wang
99.803,28.937,14.5,SCXC_Wang
102.511,28.651,11,SCYX_Wang
101.493,25.049,5,YNCX_Wang
103.181,26.108,8.2,YNDC_Wang
103.292,26.408,8.2,YNHZ_Wang
100.881,24.437,2.7,YNJD_Wang
103.232,22.786,8,YNJP_Wang
100.029,26.696,5.6,YNLJ_Wang
101.675,23.416,4.4,YNMJ_Wang
103.382,24.396,9.1,YNML_Wang
103.404,23.356,7.2,YNMZ_Wang
101.906,24.102,4.1,YNXP_Wang
101.861,25.689,7.2,YNYM_Wang
100.754,26.683,9,YNYS_Wang
104.064,30.639,7.8,CHDU_Wang
104.545,30.389,7.5,JYAN_Wang
103.755,29.565,7.8,LESH_Wang
104.726,31.44,7.6,MYAN_Wang
103.757,30.91,7.7,PIXI_Wang
103.306,30.354,8.2,QLAI_Wang
104.103,30.2,7.8,RENS_Wang
104.546,31.006,7.7,ZHJI_Wang
101.745,30.6,9.8,MAON_Wang
101.185,31.023,13.3,QIME_Wang
101.125,30.881,16.3,WARI_Wang
105.119,29.62,7.8,NEIJ_Wang
104.434,29.458,7.3,ROXI_Wang
104.597,28.798,7.6,YBIN_Wang
102.267,27.796,10.5,GYAO_Wang
102.112,27.882,11.3,KAIY_Wang
105.33,30.104,8.1,ANYU_Wang
102.632,29.349,10,HANY_Wang
102.115,29.65,12.9,MOXI_Wang
105.432,28.166,7.7,XYON_Wang
105.386,31.221,7.6,YANT_Wang
105.169,31.651,6.8,ZTON_Wang
102.348,27.809,8.9,XICH_Wang
102.653,25.008,5.3,BEKM_Wang
100.176,25.707,3,BFDI_Wang
100.219,26.849,7.4,BFLJ_Wang
98.907,28.488,12.7,DEQN_Wang
104.281,26.863,7.6,WEIN_Wang
102.268,27.904,11.5,XICN_Wang
104.073,29.652,7.2,H070_Wang
102.767,28.955,9.6,H087_Wang
100.006,31.618,19,H182_Wang
102.25,28.746,10.6,H365_Wang
101.497,30.495,14.6,JB35_Wang
100.278,29.993,15.7,JB40_Wang
103.134,28.335,8.9,MEIG_Wang
103.534,28.84,8.1,SCMB_Wang
101.744,26.503,8.7,SCPZ_Wang
102.437,28.3,11.6,SCXD_Wang
101.513,27.432,10.6,SCYY_Wang
101.526,30.326,14.5,TAGO_Wang
100.255,25.608,3.3,XIAG_Wang
103.011,29.981,8.3,YAAN_Wang
102.751,24.118,6.5,YNTH_Wang
101.327,25.724,5.9,YNYA_Wang
99.372,25.885,0.7,YNYL_Wang
99.698,27.823,7.1,YNZD_Wang
98.595,29.691,16.8,MKZ1_Wang
97.778,29.727,15.9,ZUG1_Wang
100.9,31.254,15.98,ZD02_Zhuy
101.024,31.042,16.58,ZD05_Zhuy
101.311,30.72,18.89,ZD07_Zhuy
101.881,30.255,11.09,ZD10_Zhuy
101.961,29.922,12.54,ZD13_Zhuy
102.051,29.731,14.09,ZD15_Zhuy
102.187,29.593,11.84,ZD17_Zhuy
